week,position,song,artist,features_artist,track_URI
8-Oct-22,1,I Like You (A Happier Song),Post Malone,Doja Cat,spotify:track:7JyFwJC3uRpiNfq7oKafgn
8-Oct-22,2,Sunroof,Nicky Youre,Dazy,spotify:track:4h4QlmocP3IuwYEj2j14p8
8-Oct-22,3,Late Night Talking,Harry Styles,,spotify:track:1qEmFfgcLObUfQm0j1W2CK
8-Oct-22,4,About Damn Time,Lizzo,,spotify:track:1PckUlxKqWQs3RlWXVBLw3
8-Oct-22,5,As It Was,Harry Styles,,spotify:track:4Dvkj6JhhA12EX05fT7y2e
8-Oct-22,6,Vegas,Doja Cat,,spotify:track:0hquQWY3xvYqN4qtiquniF
8-Oct-22,7,I Ain't Worried,OneRepublic,,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB
8-Oct-22,8,Bad Habit,Steve Lacy,,spotify:track:5CM4UuQ9Gnd6K2YyKGPMoK
8-Oct-22,9,Glimpse of Us,Joji,,spotify:track:6xGruZOHLs39ZbVccQTuPZ
8-Oct-22,10,So Good,Halsey,,spotify:track:6kxaaIeowajN7w21PfMLbu